[10Apr2025 00:04:14.607] [Worker-Main-2/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-68, y=-58, z=9}
[10Apr2025 00:04:27.788] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 90], pos: BlockPos{x=444, y=35, z=1455}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.788] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 91], pos: BlockPos{x=449, y=36, z=1468}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.788] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 91], pos: BlockPos{x=449, y=36, z=1458}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.788] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 91], pos: BlockPos{x=449, y=36, z=1457}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.788] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 91], pos: BlockPos{x=449, y=36, z=1456}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.788] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 90], pos: BlockPos{x=449, y=36, z=1455}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.788] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 91], pos: BlockPos{x=448, y=36, z=1458}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.789] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 91], pos: BlockPos{x=448, y=36, z=1457}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.789] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 91], pos: BlockPos{x=448, y=36, z=1456}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.789] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [28, 90], pos: BlockPos{x=448, y=36, z=1455}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=447, y=36, z=1458}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=447, y=36, z=1457}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=447, y=36, z=1456}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 90], pos: BlockPos{x=447, y=36, z=1455}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=446, y=36, z=1458}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=446, y=36, z=1457}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=446, y=36, z=1456}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 90], pos: BlockPos{x=446, y=36, z=1455}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.790] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=445, y=36, z=1458}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.791] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=445, y=36, z=1457}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.791] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=445, y=36, z=1456}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.791] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 90], pos: BlockPos{x=445, y=36, z=1455}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.791] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=444, y=36, z=1468}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.791] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=444, y=36, z=1465}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
[10Apr2025 00:04:27.791] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [27, 91], pos: BlockPos{x=444, y=36, z=1461}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / the_pillager_legion_:under_tunnel_horizon_high_2]
